Date,KO,WRB,log_KO,log_WRB,spread,spread_mean,spread_std,z_score,ma_10,ma_30,momentum,volatility,asset1_returns,asset2_returns,hedged_returns,target,pred_proba,prediction,Position,strategy_return,capital
2023-09-19,55.59946823120117,41.74895095825195,4.018173637023771,3.7316743242327264,-3.4999988093534085,-3.6208699659557797,0.050499427943314766,2.393515362947244,-3.5311626564803973,-3.581265155032682,0.022902506262119093,0.04381770622848509,-0.0020583180059553507,0.006306751221329732,0.010011191190496708,0,0.10346938,0,0,0.0,124.43346662185803
2023-09-20,55.84793472290039,41.89573287963867,4.022632545832372,3.735183981160572,-3.5045140348595027,-3.617915521798087,0.051779976777446564,2.1900644611331246,-3.525059557672948,-3.5777027630923928,0.024443996638189525,0.044404942419827884,0.004468864534207695,0.00351582298519304,-0.004526977179511371,0,0.20964178,0,0,-0.0,124.43346662185803
2023-09-21,54.98785400390625,41.56388092041016,4.007112324551932,3.7272315430168557,-3.484534089437983,-3.614335670477442,0.053086061721221586,2.4451160404609564,-3.5187470798229024,-3.5733791814400884,0.036719299080282486,0.04553290388361286,-0.015400403314134836,-0.007920901161506788,0.019795841058650513,0,0.20024264,0,0,0.0,124.43346662185803
2023-09-22,55.04519271850586,41.81512451171875,4.008154533624528,3.7332581045097624,-3.480383234679207,-3.61095089262331,0.05472200437459181,2.3860174610988345,-3.5122620019806163,-3.569351060447631,0.03224736607837597,0.04606930896380952,0.0010427523611948875,0.006044757749876339,0.004168073236804372,0,0.22123066,0,0,0.0,124.43346662185803
2023-09-25,54.471805572509766,41.81512451171875,3.9976832388636363,3.7332581045097624,-3.461537612803023,-3.607379884597228,0.05700459228216545,2.558430223872216,-3.5026705131431664,-3.5647738543112295,0.04845640110644611,0.046464358845070705,-0.010416661613455003,0.0,0.018747296343190584,0,0.20024264,0,0,0.0,124.43346662185803
2023-09-26,54.02265167236328,41.50590896606445,3.9894034340231936,3.7258358018253546,-3.4540584085778594,-3.6037698141841688,0.059387213432849514,2.5209366958359056,-3.495786222439399,-3.5601593674948093,0.04594040077554906,0.046063744277164295,-0.008245621664745406,-0.007394825419391959,0.007445160616358934,0,0.20024264,0,0,0.0,124.43346662185803
2023-09-27,53.4683837890625,41.45437240600586,3.9790905220041375,3.7245933622907774,-3.436740274201428,-3.5999869247612457,0.06229208657241832,2.6206643498774675,-3.486564446709773,-3.5548145211154303,0.06777376065807461,0.04659321809090381,-0.010259916278495651,-0.001241668026129239,0.017223527260701796,0,0.20024264,0,0,0.0,124.43346662185803
2023-09-28,53.33458709716797,41.9117546081543,3.9765850343613063,3.735566327158312,-3.4212580796912904,-3.596466064237261,0.065977210788785,2.6555833817660077,-3.4765649158270753,-3.548879868025401,0.06327600974669245,0.04677414278996618,-0.0025023515283792985,0.011033388653646004,0.015536974101479582,0,0.16552036,0,0,0.0,124.43346662185803
2023-09-29,53.49704360961914,40.90035629272461,3.979626392741804,3.711138774324373,-3.4511592908776696,-3.593442488263341,0.06820066915139929,2.0862434218910013,-3.4704177848390843,-3.543395301808745,0.029223943801537366,0.04495044284561228,0.003045988003154587,-0.024131614743538088,-0.029613605219179745,0,0.18370493,0,0,-0.0,124.43346662185803
2023-10-02,53.01922607421875,40.533164978027344,3.970654603889364,3.7021205273527165,-3.4440306387191897,-3.590167438107858,0.07034376858101013,2.0774661684548876,-3.4638214473200564,-3.5373913807109525,0.01750697408383317,0.04467941876749003,-0.008931662446379995,-0.008977704547834975,0.007096977431211696,0,0.18370493,0,0,0.0,124.43346662185803
2023-10-03,52.445838928222656,40.22394561767578,3.9597809976288945,3.6944624804199444,-3.4321190071456646,-3.586491901130541,0.0724586270195446,2.130497089645883,-3.4570334670992815,-3.5311582159526855,0.02193940143219475,0.04463547836002603,-0.010814702296737422,-0.0076287988001723095,0.01183486780856504,0,0.18357274,0,0,0.0,124.43346662185803
2023-10-04,52.5987434387207,40.87458419799805,3.9626922304606125,3.7105084566396354,-3.4213124969512263,-3.582833728646072,0.0748864330245828,2.156882430784537,-3.448713313308454,-3.524616379391456,0.015427777250201835,0.044133238312321174,0.0029154745852633113,0.01617540423573849,0.010928304151353275,0,0.13180518,0,0,0.0,124.43346662185803
2023-10-05,50.05672454833984,41.3770637512207,3.913156853346375,3.722726711636884,-3.31994337685985,-3.578026168081151,0.0816908995505163,3.1592599988656898,-3.432254242050641,-3.5146286102481463,0.1013147028314405,0.05553144713169259,-0.048328509850095625,0.012293202807608372,0.09927201901627235,0,0.118015274,0,0,0.0,124.43346662185803
2023-10-06,50.783016204833984,41.170921325683594,3.927561972008317,3.717732214100365,-3.3508633617008057,-3.573826909416051,0.08640162730666617,2.5805480135678276,-3.419302254752801,-3.5057379282853938,0.10029592917686392,0.059548215422717675,0.01450937237798633,-0.004982045772424559,-0.031095162797600984,0,0.10135044,0,0,-0.0,124.43346662185803
2023-10-09,50.5345458984375,41.0871696472168,3.9226571796039433,3.7156958987320774,-3.3440723195030335,-3.569525254013032,0.09094174147217789,2.479091898399285,-3.4075557254228017,-3.4964077989200435,0.09995831921615617,0.061347618006502395,-0.004892783551774027,-0.0020342434847225865,0.006771501253084287,0,0.07539294,0,0,0.0,124.43346662185803
2023-10-10,51.63353729248047,40.70709609985352,3.9441714088917883,3.7064024285988717,-3.3920858370968956,-3.565760823613038,0.09330753492143361,1.861317916740371,-3.4013584682747053,-3.4887003916993553,0.04003317004876905,0.06071011306247206,0.021747328970793234,-0.009250419306724433,-0.04838998589893202,0,0.07539294,0,0,-0.0,124.43346662185803
2023-10-11,51.32773208618164,41.3190803527832,3.938231192587769,3.7213243872947315,-3.3664730256569806,-3.5611707077195,0.09589127771650369,2.0304003314892776,-3.3943317434202607,-3.4804533836564784,0.05483947129424571,0.060256910342240795,-0.005922608101912141,0.015033846959471076,0.025693009494587832,0,0.07539294,0,0,0.0,124.43346662185803
2023-10-12,50.467647552490234,40.87458419799805,3.921332488457259,3.7105084566396354,-3.3468756601998795,-3.556002272148892,0.09853332734060698,2.1223947023133634,-3.38689350147112,-3.471534258347645,-0.026932283340029617,0.06056442204954542,-0.0167567219266046,-0.01075764879058383,0.019400116082254424,0,0.08468065,0,0,0.0,124.43346662185803
2023-10-13,50.54410171508789,41.12582778930664,3.9228462564644766,3.716636337498317,-3.343472170175732,-3.551247281263771,0.10145047048457025,2.0480448251803804,-3.376124789400926,-3.4632479462527157,0.007391191525073726,0.060483349604779385,0.0015149143323578418,0.006146694730680524,0.0034202408074221623,0,0.08468065,0,0,0.0,124.43346662185803
2023-10-16,51.060150146484375,41.879539489746094,3.9330043523982106,3.7347973899950344,-3.3435930626839565,-3.5466150467078625,0.10417099981160852,1.9489299746673052,-3.3660810317974024,-3.4557950856365425,0.0004792568190770119,0.05936053991805984,0.010209864531877555,0.01832696728442329,-4.814780578009034e-05,0,0.08468065,0,0,-0.0,124.43346662185803
2023-10-17,51.6717643737793,42.575286865234375,3.944911488682991,3.7512739644058968,-3.348546253471686,-3.541579521500065,0.1059695248444354,1.8215922767583803,-3.357723756430005,-3.448639960003228,0.04353958362520949,0.05757349513676153,0.01197830843701575,0.01661306174721977,-0.004944794914727782,0,0.07539294,0,0,-0.0,124.43346662185803
2023-10-18,51.65264892578125,42.027713775634766,3.944541480325707,3.7383292524777167,-3.3608250460697717,-3.536655642036902,0.10705884565531677,1.6423733591638825,-3.3516750113418587,-3.44181596077442,0.005647979587208862,0.05364555079756533,-0.0003699399126333436,-0.012861289492490546,-0.012195493345061408,0,0.08468065,0,0,-0.0,124.43346662185803
2023-10-19,51.93934631347656,41.383506774902344,3.9500766207390896,3.7228824143744,-3.3862337050982125,-3.532094156242288,0.1072515228813442,1.3599848955566385,-3.3583040441656955,-3.4364351220130795,-0.039358044898333056,0.049882799519225536,0.005550487606303944,-0.015328147616392451,-0.02531758951879414,0,0.087103635,0,0,-0.0,124.43346662185803
2023-10-20,52.14958572387695,40.765079498291016,3.9541162374819003,3.7078258202734293,-3.4085605643763266,-3.527813330273248,0.10670451216268681,1.1175981547537828,-3.3640737644332477,-3.431879340388888,-0.06508839420059465,0.04585638050073065,0.004047786992379621,-0.014943810343940767,-0.022228779856844363,0,0.13531205,0,0,-0.0,124.43346662185803
2023-10-23,51.68132781982422,40.51383590698242,3.945096552252338,3.7016435431040624,-3.398509741326475,-3.52331832435085,0.10608044539268392,1.176546559192544,-3.369517506615592,-3.4265812483938527,-0.05491667864251859,0.042872079213714546,-0.008979129892461302,-0.006163206214748751,0.009996904888461004,0,0.13531205,0,0,0.0,124.43346662185803
2023-10-24,53.172122955322266,43.00690078735352,3.9735342544100036,3.761360586244301,-3.3899732058625647,-3.5185899459306893,0.10526371355782417,1.2218525807326,-3.369306243492159,-3.4221503114020875,-0.04142695239087857,0.04001703661926052,0.028845913957462166,0.06153613511431111,0.009620951793754572,0,0.12823038,0,0,0.0,124.43346662185803
2023-10-25,53.63083267211914,43.20016098022461,3.9821241391118405,3.76584422163721,-3.4009491409189025,-3.5145000030963134,0.10473978613813176,1.0841234870162801,-3.372753855018351,-3.417883348382795,-0.04012409484913082,0.038363195646437,0.008626883624381687,0.004493701925341265,-0.011032457013679758,0,0.1295993,0,0,-0.0,124.43346662185803
2023-10-26,53.305912017822266,43.1937141418457,3.9760472446796227,3.7656949786872493,-3.390161545849673,-3.510190028302182,0.1041703863378169,1.1522322866622146,-3.3770824435833307,-3.4135136202938416,-0.003927840751460465,0.03737151781275867,-0.006058467454408745,-0.00014923181378556638,0.010754442412001634,0,0.12823038,0,0,0.0,124.43346662185803
2023-10-27,52.78987121582031,42.079246520996094,3.9663193392761995,3.7395546623992777,-3.3987941488064433,-3.5060931111448856,0.10337989064448615,1.0379094199996164,-3.382614641446401,-3.4097190718954704,0.009766415569883335,0.03394782948068194,-0.00968074238800043,-0.025801615883037088,-0.00837878377956295,0,0.1295993,0,0,-0.0,124.43346662185803
