Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange
PPL,PPL CORP,Equity,0.07,29.75,211709,6298342.75,6298342.75,Utilities,2680905,US69351T1060,New York Stock Exchange Inc.
NUE,NUCOR CORP,Equity,0.07,65.3,96389,6294201.7,6294201.7,Materials,2651086,US6703461052,New York Stock Exchange Inc.
WDAY,WORKDAY INC CLASS A,Equity,0.07,142.9,43854,6266736.6,6266736.6,Information Technology,B8K6ZD1,US98138H1014,NASDAQ
INFO,IHS MARKIT LTD,Equity,0.07,54.07,115119,6224484.33,6224484.33,Industrials,BD0Q558,BMG475671050,NASDAQ
MSI,MOTOROLA SOLUTIONS INC,Equity,0.07,126.87,48913,6205592.31,6205592.31,Information Technology,B5BKPQ4,US6200763075,New York Stock Exchange Inc.
IP,INTERNATIONAL PAPER,Equity,0.07,50.3,123171,6195501.3,6195501.3,Materials,2465254,US4601461035,New York Stock Exchange Inc.
XLNX,XILINX INC,Equity,0.07,80.19,76905,6167011.95,6167011.95,Information Technology,2985677,US9839191015,NASDAQ
CERN,CERNER CORP,Equity,0.07,64.25,95708,6149239,6149239,Health Care,2185284,US1567821046,NASDAQ
DVN,DEVON ENERGY CORP,Equity,0.07,39.86,154122,6143302.92,6143302.92,Energy,2480677,US25179M1036,New York Stock Exchange Inc.
FCX,FREEPORT MCMORAN INC,Equity,0.07,13.89,437235,6073194.15,6073194.15,Materials,2352118,US35671D8570,New York Stock Exchange Inc.
HRS,HARRIS CORP,Equity,0.07,168.5,36022,6069707,6069707,Industrials,2412001,US4138751056,New York Stock Exchange Inc.
AZO,AUTOZONE INC,Equity,0.07,762.82,7953,6066707.46,6066707.46,Consumer Discretionary,2065955,US0533321024,New York Stock Exchange Inc.
MRO,MARATHON OIL CORP,Equity,0.07,23.51,257871,6062547.21,6062547.21,Energy,2910970,US5658491064,New York Stock Exchange Inc.
RF,REGIONS FINANCIAL CORP,Equity,0.07,18.11,334413,6056219.43,6056219.43,Financials,B01R311,US7591EP1005,New York Stock Exchange Inc.
